任务序号 价格 完成情况 7km内用户信誉均值
69 66.5 0.0 71.22826999999994 
70 70.0 0.0 100.31675937499996 
71 66.5 0.0 78.93048474576273 
72 66.0 0.0 64.22192325581396 
73 66.5 0.0 77.3142808988764 
74 66.5 0.0 100.61021176470575 
75 68.5 0.0 27.015307499999977 
76 65.5 1.0 96.7686696969697 
77 66.5 1.0 71.22826999999994 
78 71.0 0.0 19.74666799999999 
79 66.0 0.0 149.12544854368932 
80 70.0 1.0 14.517681481481477 
81 67.0 0.0 97.12963265306112 
82 66.0 0.0 79.34748526315785 
83 65.5 0.0 112.07617373737364 
84 66.0 0.0 90.08615084745759 
85 66.5 0.0 42.169712359550545 
86 66.0 0.0 70.82967051282046 
87 70.0 0.0 126.5069489361702 
88 66.5 0.0 83.34111969696966 
89 70.0 0.0 132.9406940298507 
90 65.5 0.0 135.254523853211 
91 67.0 0.0 21.16086999999997 
92 70.0 0.0 92.02629622641507 
93 66.0 0.0 78.87506197183095 
94 65.5 0.0 202.51700499999998 
95 67.0 1.0 19.86622040816325 
96 65.5 0.0 92.02629622641507 
97 65.5 0.0 97.01748775510202 
98 66.0 0.0 70.82967051282046 
99 66.0 0.0 164.93791702127658 
100 66.5 0.0 19.280009090909076 
101 70.0 0.0 30.866015384615366 
102 66.0 0.0 43.585259722222204 
103 70.0 1.0 322.1110676470592 
104 65.0 0.0 97.62037173913042 
105 67.5 0.0 102.60336201550378 
106 70.0 0.0 127.60487727272722 
107 66.0 0.0 86.30022388059699 
108 65.5 1.0 765.5783506329108 
109 68.5 0.0 109.89588653846151 
110 70.5 0.0 26.00735588235294 
111 65.5 0.0 298.9988648648652 
112 66.5 0.0 128.89387636363634 
113 66.5 0.0 43.924617142857116 
114 67.0 0.0 90.03079615384613 
115 66.0 0.0 28.31466744186044 
116 67.0 0.0 19.294299999999986 
117 65.5 0.0 200.1618976190477 
118 66.0 1.0 804.1159813333327 
119 65.5 0.0 299.80141351351386 
120 65.0 1.0 107.68526578947368 
121 66.5 1.0 175.9647627118643 
122 65.5 1.0 837.0592458333326 
123 66.0 1.0 739.8414329268286 
124 66.0 0.0 37.60013678160917 
125 75.0 1.0 14.384500000000003 
126 65.5 1.0 618.6900117187505 
127 65.5 0.0 604.2211785234906 
128 66.5 1.0 404.231032941176 
129 65.0 0.0 332.5516208588951 
130 65.5 0.0 256.4580568421055 
131 65.0 0.0 300.4878288135587 
132 75.0 1.0 18.36548 
133 65.0 0.0 249.0530938775513 
134 65.5 1.0 567.088292907802 
135 68.5 0.0 1459.377235555555 
136 65.5 0.0 355.7978766666661 
137 65.5 0.0 1104.0320985074627 
138 68.0 0.0 852.6187722222223 
139 69.0 0.0 16.67008888888889 
140 66.5 0.0 483.508625 
141 65.0 0.0 243.60623267326764 
142 66.0 0.0 637.9586740740749 
143 65.0 0.0 298.63240588235226 
144 65.0 0.0 478.910689473685 
145 66.0 0.0 259.5033819148939 
146 66.0 0.0 634.5734838235302 
147 66.0 0.0 370.10691929824577 
148 66.0 0.0 370.10691929824577 
149 73.0 1.0 19.327162962962955 
150 66.5 1.0 483.508625 
151 65.5 0.0 487.59095625 
152 70.5 1.0 333.67896307692325 
153 67.0 1.0 804.1182947368421 
154 66.5 1.0 483.508625 
155 65.5 0.0 487.59095625 
156 73.5 0.0 590.9428807692308 
157 69.0 0.0 232.7652531914897 
158 66.0 0.0 142.9933240000004 
159 70.0 0.0 42.83821428571425 
160 75.0 0.0 23.90901666666667 
161 70.0 0.0 859.7655666666667 
162 66.0 0.0 930.881417894737 
163 66.5 0.0 63.861 
164 65.5 0.0 203.921808791209 
165 69.0 0.0 858.0436282051279 
166 70.0 0.0 16.33858275862068 
167 74.5 0.0 33.277199999999986 
168 74.0 0.0 17.696275 
169 65.5 0.0 682.802156666666 
170 67.5 0.0 43.522368852458996 
171 65.5 0.0 203.921808791209 
172 66.5 0.0 516.2238896103889 
173 65.5 0.0 605.2174199999993 
174 65.0 0.0 173.36821958762897 
175 67.5 0.0 85.40344385964909 
176 66.0 0.0 43.169359999999976 
177 70.0 1.0 229.4032 
178 67.0 1.0 87.94387459016374 
179 65.0 0.0 174.7155666666666 
180 65.5 1.0 173.3906010471203 
181 65.5 0.0 264.8112521739133 
182 65.5 1.0 567.088292907802 
183 65.0 0.0 159.3416075675679 
184 65.5 1.0 176.49850160427795 
185 65.0 0.0 235.08696755319076 
186 65.5 0.0 326.6682632530114 
187 65.5 0.0 555.3860106508882 
188 69.5 1.0 29.392374999999998 
189 65.5 1.0 508.233223333334 
190 65.0 0.0 305.47972758620625 
191 65.0 0.0 481.7129244680859 
192 65.5 0.0 1181.869621839081 
193 66.0 1.0 394.760294252873 
194 65.5 0.0 607.1228457746486 
195 66.5 0.0 752.1811025862075 
196 65.0 0.0 559.7142783216789 
197 75.0 1.0 19.9231 
198 74.5 1.0 159.57649999999998 
199 75.0 1.0 159.57649999999998 
200 67.0 1.0 89.79124905660368 
201 70.0 1.0 39.346447619047616 
202 67.0 0.0 91.1348673076922 
203 66.5 1.0 159.57649999999998 
204 66.5 1.0 159.57649999999998 
205 70.0 1.0 159.57649999999998 
206 70.0 1.0 159.57649999999998 
207 75.0 1.0 0 
208 70.0 1.0 229.4032 
209 67.0 1.0 483.508625 
210 66.0 0.0 104.76151999999985 
211 70.0 0.0 33.92673124999999 
212 68.0 1.0 51.96431052631578 
213 70.0 0.0 40.30152999999999 
214 66.0 0.0 101.49061655172399 
215 70.5 1.0 21.53936842105262 
216 70.0 0.0 40.3521111111111 
217 66.0 1.0 175.1622351515154 
218 70.5 1.0 25.031924999999998 
219 65.0 1.0 45.824495 
220 70.0 0.0 35.445561538461526 
221 75.0 1.0 1.9923 
222 70.0 0.0 40.3521111111111 
223 70.0 0.0 45.824495 
224 75.0 1.0 10.007900000000001 
225 75.0 0.0 33.00584999999999 
226 70.0 1.0 39.888264 
227 65.5 1.0 45.824495 
228 70.0 1.0 45.28102272727273 
229 66.0 1.0 164.27730197368453 
230 70.0 1.0 37.56218636363636 
231 70.0 1.0 31.753429629629622 
232 70.0 1.0 42.20993 
233 70.0 1.0 44.591095238095235 
234 70.0 1.0 45.53981904761905 
235 70.0 1.0 44.591095238095235 
236 66.0 1.0 105.83212384615364 
237 70.0 1.0 45.53981904761905 
238 65.0 1.0 242.20802384105906 
239 70.0 0.0 45.824495 
240 65.5 0.0 233.86801582278437 
241 71.5 1.0 25.601099999999995 
242 65.5 0.0 151.65359757575797 
243 66.0 0.0 146.7225366863909 
244 70.0 1.0 31.753429629629622 
245 66.5 0.0 217.0169071942449 
246 66.0 1.0 174.69109774436126 
247 65.0 0.0 118.47834475138158 
248 66.5 0.0 217.0169071942449 
249 65.5 1.0 120.26911988636402 
250 66.5 0.0 81.01868018018023 
251 67.0 0.0 214.01689898989937 
252 65.0 1.0 165.21020540540576 
253 65.5 1.0 151.39464556213056 
254 65.0 1.0 132.06537077922115 
255 65.5 1.0 96.71810148148143 
256 65.0 1.0 79.22996153846147 
257 66.5 1.0 180.18254453125036 
258 68.0 1.0 55.2750558823529 
259 65.5 1.0 172.42398195488758 
260 69.0 0.0 232.7652531914897 
261 65.0 1.0 132.39549266666697 
262 65.0 1.0 52.86505294117643 
263 65.5 1.0 122.4641080459774 
264 65.5 1.0 300.46722407407407 
265 75.0 0.0 15.531325 
266 67.0 1.0 59.37494074074069 
267 70.0 1.0 42.83821428571425 
268 70.5 1.0 48.972093749999964 
269 66.0 1.0 63.861 
270 72.0 1.0 29.392374999999998 
271 68.0 1.0 267.7368080645164 
272 75.0 0.0 15.531325 
273 67.0 1.0 317.32836862745097 
274 65.5 0.0 50.55126388888884 
275 65.0 1.0 53.64250645161285 
276 66.5 1.0 53.3930444444444 
277 70.0 1.0 42.83821428571425 
278 66.0 1.0 293.1886767857145 
279 67.0 1.0 44.08771999999997 
280 65.5 1.0 51.47892187499995 
281 66.5 1.0 48.68500769230765 
282 68.0 1.0 56.519577419354796 
283 65.0 1.0 51.40284857142853 
284 65.5 0.0 50.03033333333329 
285 65.5 1.0 50.03033333333329 
286 65.5 1.0 51.47892187499995 
287 65.5 0.0 50.52841111111107 
288 65.0 0.0 52.86505294117643 
289 69.0 1.0 234.90095617977568 
290 65.0 0.0 51.40284857142853 
291 70.0 1.0 29.171650000000003 
292 65.0 1.0 53.64250645161285 
293 67.5 1.0 49.39247948717944 
294 70.0 1.0 27.92266666666667 
295 70.0 1.0 219.9701 
296 70.0 1.0 0 
297 75.0 1.0 0 
298 70.0 1.0 29.171650000000003 
299 70.0 1.0 29.171650000000003 
300 70.0 1.0 29.171650000000003 
301 70.0 1.0 29.171650000000003 
302 75.0 1.0 0 
303 70.0 1.0 29.171650000000003 
304 66.5 1.0 503.1531244186042 
305 70.0 1.0 29.171650000000003 
306 70.0 1.0 29.171650000000003 
307 70.0 1.0 32.58254444444444 
308 65.5 1.0 841.4383304761905 
309 66.5 1.0 57.04295294117646 
310 70.0 1.0 29.171650000000003 
311 65.5 1.0 1010.2814212500004 
312 67.5 0.0 429.09258150289077 
313 65.5 0.0 252.669715151515 
314 66.0 1.0 511.05963181818134 
315 65.5 0.0 196.71497102803772 
316 65.5 1.0 821.0605148148148 
317 65.5 1.0 680.948141666666 
318 65.5 1.0 139.88403370786517 
319 65.0 1.0 836.3454735849057 
320 69.0 1.0 858.0436282051279 
321 66.0 0.0 535.5798916666661 
322 65.5 1.0 1023.0661405063296 
323 65.0 1.0 173.65128484848492 
324 65.5 0.0 185.16125056179786 
325 65.5 1.0 536.6658523809518 
326 66.0 0.0 811.3490351851859 
327 66.0 0.0 199.17387674418615 
328 65.0 1.0 150.32915555555553 
329 65.5 1.0 210.26313888888913 
330 65.5 0.0 928.1736428571431 
331 65.0 1.0 230.73752276422792 
332 65.5 1.0 489.47290499999957 
333 65.0 1.0 178.6409531250001 
334 69.0 1.0 858.0436282051279 
335 65.5 1.0 109.19103082706752 
336 65.5 1.0 475.9901262135918 
337 65.0 1.0 227.20539360000026 
338 65.0 1.0 150.81657901234564 
339 65.5 1.0 148.50030731707315 
340 69.0 1.0 858.0436282051279 
341 66.5 1.0 503.1531244186042 
342 65.5 0.0 505.4096258426961 
343 66.0 1.0 159.5168558441561 
344 65.5 1.0 210.26313888888913 
345 65.5 1.0 147.19122289156624 
346 66.0 0.0 656.7030375886533 
347 65.5 0.0 970.3713760869568 
348 65.5 1.0 518.3025551724132 
349 65.0 0.0 178.59924000000012 
350 65.5 0.0 967.31472967033 
351 65.5 1.0 108.0492192592591 
352 65.5 0.0 205.1229120481926 
353 66.5 0.0 180.56790822784833 
354 65.5 0.0 134.52086228070172 
355 65.5 1.0 332.94831044776157 
356 72.5 0.0 72.2434181818182 
357 66.5 0.0 1159.8218176470582 
358 66.0 0.0 76.3406742187499 
359 65.5 0.0 861.2964291666661 
360 65.5 0.0 92.02629622641507 
361 66.0 0.0 931.1155035087714 
362 68.0 0.0 51.08193421052628 
363 65.0 0.0 146.7916830508474 
364 65.5 0.0 150.32915555555553 
365 66.0 0.0 673.211358620689 
366 65.5 0.0 1040.2336307692308 
367 65.5 0.0 604.916547692307 
368 66.5 0.0 84.74872307692308 
369 66.0 0.0 104.76788214285699 
370 65.5 0.0 1003.9201407407407 
371 65.5 0.0 968.5061891089113 
372 68.0 1.0 1197.3216625 
373 75.0 1.0 12.835475000000002 
374 65.5 0.0 104.64481596638649 
375 65.0 1.0 256.06294461538494 
376 66.0 1.0 280.8292303571429 
377 65.0 0.0 173.0947031413612 
378 65.0 1.0 176.26508225806472 
379 66.0 1.0 19.022753333333338 
380 65.5 1.0 153.842354166667 
381 65.0 0.0 171.15540673575117 
382 66.0 0.0 751.483606194691 
383 75.0 1.0 159.57649999999998 
384 75.0 1.0 0 
385 65.0 0.0 503.9976894736849 
386 65.5 1.0 280.27963636363563 
387 72.0 1.0 159.57649999999998 
388 65.5 1.0 176.49850160427795 
389 74.0 1.0 238.3686 
390 65.0 0.0 158.94314486486522 
391 65.0 1.0 175.22265235294145 
392 75.0 1.0 28.263207692307688 
393 66.0 1.0 106.8176310810809 
394 75.0 0.0 40.3521111111111 
395 65.5 1.0 155.4979893491127 
396 72.0 1.0 89.66018750000002 
397 75.0 1.0 36.970823076923075 
398 72.0 0.0 89.66018750000002 
399 75.0 1.0 46.820655 
400 75.0 1.0 14.969425000000001 
401 65.0 1.0 260.0327984375003 
402 66.0 1.0 299.12521090909115 
403 68.0 1.0 51.08193421052628 
404 72.0 1.0 29.392374999999998 
405 73.0 1.0 10.96275 
406 75.0 0.0 36.90512499999999 
407 65.0 1.0 264.3809306451614 
408 75.0 1.0 17.266700000000004 
409 73.5 0.0 15.940425000000001 
410 75.0 1.0 46.25289999999998 
411 65.0 1.0 260.1901793650795 
412 65.5 1.0 51.40284857142853 
413 65.5 1.0 294.1394589285716 
414 72.0 1.0 63.861 
415 65.5 1.0 50.5226848484848 
416 65.5 1.0 52.91853666666661 
417 75.0 1.0 29.171650000000003 
418 65.0 1.0 53.21137499999995 
419 70.0 1.0 69.42907142857142 
420 65.5 1.0 300.107210714286 
421 66.5 1.0 119.33700714285705 
422 65.5 1.0 49.70946756756752 
423 75.0 1.0 29.171650000000003 
424 65.5 1.0 1003.9201407407407 
425 80.0 1.0 0 
426 66.0 1.0 571.8897027777771 
427 75.0 1.0 226.01511379310344 
428 75.0 1.0 29.171650000000003 
429 66.0 1.0 630.3838061538455 
430 75.0 1.0 29.171650000000003 
431 65.0 1.0 244.18560202020228 
432 65.5 1.0 489.47290499999957 
433 65.5 1.0 504.02862886597893 
434 75.0 0.0 35.445561538461526 
435 75.0 0.0 37.56218636363636 
436 75.0 0.0 36.45662727272726 
437 75.0 0.0 38.30920999999999 
438 75.0 0.0 40.3521111111111 
439 69.5 0.0 932.563660714285 
440 67.0 0.0 77.84657232142858 
441 69.0 0.0 105.58233589743587 
442 73.0 0.0 91.33848285714286 
443 66.5 0.0 931.1155035087714 
444 72.0 1.0 117.47722555555546 
445 72.0 0.0 148.29206724137927 
446 66.5 0.0 91.21821313131306 
447 67.0 0.0 78.87972608695651 
448 66.0 0.0 77.5878524590164 
449 85.0 0.0 19.9231 
450 66.0 0.0 141.95344077669904 
451 65.5 0.0 70.82967051282046 
452 65.5 0.0 32.95594074074071 
453 66.0 0.0 37.33642588235291 
454 72.0 0.0 102.46378378378373 
455 65.0 0.0 112.41158921568622 
456 72.0 0.0 40.30152999999999 
457 66.5 0.0 175.9647627118643 
458 72.0 0.0 159.57649999999998 
459 85.0 0.0 28.192876470588224 
460 65.5 1.0 783.3269035714292 
461 65.5 1.0 863.6066830985909 
462 65.0 0.0 142.07810710382552 
463 65.5 0.0 76.66172903225805 
464 67.0 0.0 79.450600990099 
465 67.0 0.0 84.37433693693684 
466 65.5 0.0 784.9416064935058 
467 80.0 0.0 88.63693037974684 
468 65.0 0.0 509.24204946808584 
469 75.0 1.0 15.560693750000002 
470 80.0 0.0 151.11743384615423 
471 65.0 0.0 159.3416075675679 
472 66.0 1.0 173.4800221428574 
473 65.0 1.0 249.0530938775513 
474 65.5 1.0 288.18188618784455 
475 65.0 1.0 541.1290988023959 
476 80.0 0.0 245.2453700000003 
477 80.0 0.0 245.84195486111048 
478 66.0 1.0 53.75825151515147 
479 66.5 1.0 106.24188961038942 
480 80.0 1.0 262.5743305785127 
481 65.5 0.0 112.54095636363638 
482 65.5 1.0 558.4327370370371 
483 65.5 0.0 106.4344033898305 
484 65.5 0.0 110.88706607142858 
485 70.0 1.0 76.91589999999997 
486 70.5 1.0 57.60494666666664 
487 72.0 1.0 11.264163157894739 
488 66.5 1.0 76.16932264150941 
489 65.5 0.0 106.4344033898305 
490 70.5 1.0 368.83200952380946 
491 71.5 1.0 3097.5013391304337 
492 70.0 1.0 17.51036428571429 
493 66.5 1.0 437.86425185185186 
494 69.0 1.0 433.2353269230768 
495 67.5 1.0 1224.3899124999998 
496 68.5 1.0 802.9912275000002 
497 70.0 1.0 770.739523076923 
498 70.0 1.0 15.463900000000004 
499 67.5 1.0 68.832149122807 
500 70.0 1.0 81.01803999999998 
501 70.0 1.0 15.2292052631579 
502 70.0 1.0 15.2292052631579 
503 70.0 1.0 86.70737777777778 
504 68.0 1.0 572.634543137255 
505 69.5 1.0 17.1329 
506 67.5 1.0 14.104453333333336 
507 72.5 1.0 15.999582608695649 
508 65.0 1.0 64.47569622641507 
509 70.0 1.0 13.075050000000003 
510 67.0 1.0 56.85691967213111 
511 67.0 1.0 243.0592 
512 66.0 1.0 63.5134839285714 
513 72.5 1.0 45.807217647058806 
514 68.5 1.0 394.92460689655167 
515 66.0 1.0 61.63694999999996 
516 69.5 1.0 231.2269891891892 
517 67.5 1.0 301.00914390243906 
518 69.0 1.0 447.136674509804 
519 66.5 1.0 553.2921309090909 
520 65.5 1.0 412.6114263157896 
521 70.0 1.0 19.15521666666666 
522 75.0 1.0 47.05592857142857 
523 65.0 1.0 68.13840204081629 
524 68.0 1.0 58.918637878787855 
525 66.5 1.0 440.4165788461539 
526 69.0 1.0 468.63811999999996 
527 67.0 1.0 596.4481836734694 
528 69.5 1.0 31.165921052631546 
529 65.5 1.0 436.8340981132077 
530 71.0 1.0 237.5473916666667 
531 68.0 1.0 395.34926875 
532 68.0 1.0 1865.4923789473683 
533 67.0 1.0 60.035194736842065 
534 66.0 1.0 678.59645 
535 67.5 1.0 2197.942321212121 
536 66.0 1.0 2382.3670733333324 
537 66.0 0.0 24.68956363636364 
538 67.0 1.0 549.0562537037038 
539 70.0 1.0 38.87465833333332 
540 75.0 1.0 14.628620000000002 
541 70.0 1.0 38.96815454545453 
542 70.0 1.0 40.52299999999999 
543 75.0 1.0 1.9923 
544 70.0 1.0 37.381066666666655 
545 70.0 1.0 39.02940833333332 
546 75.0 1.0 537.323275 
547 75.0 1.0 28.343925 
548 70.0 1.0 68.29404864864863 
549 69.5 1.0 64.40104074074071 
550 70.0 1.0 40.52299999999999 
551 70.5 1.0 40.79766842105263 
552 68.0 1.0 95.19264999999999 
553 66.5 1.0 58.96507916666665 
554 67.5 1.0 39.555382352941166 
555 67.0 1.0 56.76240625 
556 70.0 1.0 34.88707142857142 
557 66.5 1.0 44.863239436619715 
558 75.0 1.0 16.420930000000002 
559 66.5 1.0 98.1121968253968 
560 71.5 1.0 285.7987375 
561 73.0 1.0 34.72315714285715 
562 73.5 1.0 30.837083333333336 
563 75.0 1.0 56.52764 
564 70.0 1.0 49.526864285714275 
565 73.5 1.0 25.06788888888889 
566 70.0 1.0 68.29404864864863 
567 66.0 1.0 92.85608360655736 
568 73.0 1.0 25.899875 
569 66.5 1.0 106.240068852459 
570 75.0 1.0 25.899875 
571 66.5 1.0 94.65766666666669 
572 66.5 1.0 105.2930295081967 
573 70.0 1.0 37.559692307692295 
574 66.0 0.0 64.50755217391301 
575 67.5 1.0 120.92601750000001 
576 65.5 1.0 100.43399824561403 
577 73.5 1.0 25.899875 
578 67.5 1.0 37.53851904761903 
579 67.5 1.0 120.92601750000001 
580 72.5 1.0 20.172150000000002 
581 66.0 1.0 103.42569655172413 
582 65.5 1.0 100.43399824561403 
583 70.0 1.0 29.277942857142854 
584 73.0 1.0 24.553410000000003 
585 68.0 1.0 107.30601276595749 
586 75.0 1.0 19.9231 
587 65.5 0.0 101.93920806451612 
588 67.0 0.0 100.67687321428573 
589 73.0 1.0 25.899875 
590 65.0 1.0 114.25610185185187 
591 66.0 1.0 108.23153958333334 
592 66.0 0.0 104.93006000000001 
593 75.0 0.0 36.68048 
594 66.0 0.0 124.64996315789476 
595 72.5 0.0 36.12301666666665 
596 65.0 0.0 107.55220689655172 
597 65.5 0.0 109.0895596491228 
598 66.5 0.0 76.57185128205128 
599 66.0 0.0 123.19542285714284 
600 66.0 0.0 87.30254285714284 
601 65.5 0.0 106.4344033898305 
602 66.0 0.0 113.05891636363636 
603 68.0 0.0 80.76950285714285 
604 66.0 0.0 109.79099298245613 
605 65.5 0.0 109.0895596491228 
606 66.0 0.0 88.11332962962962 
607 66.0 0.0 107.90134833333335 
608 65.5 0.0 103.27750655737704 
609 67.0 0.0 81.16752571428572 
610 65.5 0.0 108.23499655172414 
611 70.0 1.0 2463.965462068965 
612 70.0 1.0 15.463900000000004 
613 66.0 0.0 104.03924509803925 
614 67.0 1.0 50.82301944444443 
615 66.0 0.0 112.82674230769231 
616 65.5 0.0 113.06554363636366 
617 65.5 1.0 2382.3670733333324 
618 70.0 1.0 42.55083333333333 
619 69.0 1.0 37.78965483870964 
620 70.0 1.0 12.452500000000004 
621 67.0 1.0 56.609442187499965 
622 70.0 1.0 24.800099999999976 
623 69.0 1.0 83.07028913043477 
624 72.0 1.0 43.07567419354837 
625 70.0 1.0 15.279425806451608 
626 70.0 1.0 19.185931999999994 
627 65.0 1.0 68.13840204081629 
628 70.0 1.0 281.854975 
629 65.0 1.0 67.17409599999996 
630 66.0 1.0 2551.892799999999 
631 68.5 1.0 35.42774848484846 
632 67.5 1.0 208.77978717948716 
633 66.5 1.0 168.84653333333333 
634 70.0 1.0 16.90377096774193 
635 71.5 1.0 64.66549583333328 
636 70.0 1.0 14.591474074074071 
637 65.5 1.0 417.1312163636365 
638 65.5 1.0 39.02940714285712 
639 75.0 1.0 67.6978923076923 
640 70.0 1.0 14.232585714285717 
641 75.0 1.0 1.99384 
642 68.0 1.0 51.981349999999985 
643 75.0 1.0 1.99384 
644 69.0 1.0 283.8425807692307 
645 67.5 1.0 210.10799743589743 
646 69.5 1.0 686.2961875000001 
647 68.0 1.0 234.55164999999997 
648 70.0 1.0 13.505029411764708 
649 68.5 1.0 388.09410612244903 
650 68.0 1.0 250.11486333333332 
651 70.0 1.0 15.2292052631579 
652 67.5 1.0 228.65148787878786 
653 70.5 1.0 30.169299999999986 
654 69.0 1.0 29.277942857142854 
655 70.5 1.0 15.656041666666669 
656 68.0 0.0 48.99509333333333 
657 74.0 0.0 44.96124999999999 
658 71.5 0.0 39.345049999999986 
659 75.0 0.0 28.888524999999984 
660 75.0 0.0 28.888524999999984 
661 75.0 1.0 1.9923 
662 65.5 0.0 108.326406122449 
663 72.5 1.0 22.045837499999994 
664 75.0 1.0 1.9923 
665 68.0 1.0 24.488727272727274 
666 70.0 1.0 11.1687125 
667 68.0 1.0 24.945290000000004 
668 70.0 1.0 48.96769999999999 
669 72.5 1.0 45.758307142857134 
670 70.0 1.0 21.789164285714286 
671 70.5 0.0 30.169299999999986 
672 70.0 1.0 20.840449999999997 
673 68.5 0.0 47.178093749999995 
674 70.0 1.0 68.29404864864863 
675 67.5 1.0 24.051661538461534 
676 71.0 1.0 17.430100000000003 
677 67.0 1.0 97.07876516853928 
678 72.0 1.0 23.629857142857137 
679 68.0 1.0 46.32384285714284 
680 66.0 1.0 22.57756153846154 
681 66.5 1.0 24.488727272727274 
682 70.0 1.0 20.840449999999997 
683 66.5 1.0 22.251721428571425 
684 72.0 1.0 83.22124772727271 
685 75.0 1.0 3702.5820684210516 
686 72.0 1.0 66.32872941176471 
687 72.5 1.0 20.20772857142857 
688 72.0 1.0 77.19960624999997 
689 75.0 1.0 20.25516666666667 
690 75.0 1.0 17.430100000000003 
691 68.0 1.0 43.36840666666665 
692 65.5 0.0 109.0895596491228 
693 68.0 1.0 52.44316111111109 
694 72.0 1.0 1007.2611225806453 
695 68.0 1.0 45.34051818181815 
696 75.0 1.0 14.399708695652174 
697 66.0 1.0 678.59645 
698 66.5 0.0 114.1533120689655 
699 72.0 1.0 2551.892799999999 
700 65.5 1.0 2381.769379999999 
701 75.0 1.0 13.505029411764708 
702 69.0 1.0 15.279425806451608 
703 75.0 1.0 489.5667190476189 
704 68.5 1.0 83.5881857142857 
705 75.0 1.0 16.437787499999995 
706 72.0 1.0 54.844342857142856 
707 75.0 1.0 2934.738854166666 
708 65.5 1.0 38.370568965517215 
709 72.0 1.0 25.74116749999999 
710 75.0 1.0 13.948733333333335 
711 72.0 1.0 87.4156707317073 
712 68.0 1.0 1197.3216625 
713 66.0 1.0 39.02940714285712 
714 72.0 1.0 24.107083333333325 
715 75.0 1.0 20.255406666666655 
716 72.0 1.0 35.42774848484846 
717 75.0 1.0 52.89163783783781 
718 72.0 1.0 83.22124772727271 
719 75.0 1.0 17.266700000000004 
720 75.0 1.0 19.727790322580635 
721 75.0 1.0 107.31691785714284 
722 65.5 1.0 108.73144999999995 
723 68.5 1.0 83.5881857142857 
724 75.0 1.0 1.99384 
725 75.0 1.0 18.404604545454543 
726 72.0 1.0 55.00407073170729 
727 72.0 1.0 14.903015789473676 
728 69.5 0.0 48.99509333333333 
729 72.5 1.0 10.9660125 
730 73.0 1.0 42.20773749999999 
731 66.0 1.0 22.79876666666667 
732 75.0 1.0 37.38636842105262 
733 75.0 0.0 1.9923 
734 75.0 1.0 67.76003999999998 
735 72.0 1.0 9.304658333333334 
736 75.0 1.0 1.9923 
737 68.0 1.0 49.17821052631575 
738 85.0 1.0 52.769397999999974 
739 80.0 1.0 45.673684905660345 
740 66.0 1.0 39.02940714285712 
741 85.0 1.0 211.74504210526314 
742 72.0 1.0 2382.3670733333324 
743 72.0 1.0 19.050619047619044 
744 75.0 1.0 56.80491666666665 
745 66.5 1.0 571.6277711538462 
